module_code,module_title,programme_code,module_year,semester,assessment_type
442701,Foundations of Nursing Practice,4_2_7,1,1,Presentation
442602,Anatomy & Physiology of Birth,4_2_7,1,1,Written coursework
442503,Introduction to Somatic Practice,4_2_7,1,2,Written coursework
411102,Management Accounting,1_1_1,1,1,Multi-choice exam
411101,Financial Accounting,1_1_1,1,1,Written exam
411104,Quantitative Methods for Business,1_1_1,1,2,Multi-choice exam
411402,Customer Experience Management,1_1_4,1,1,Multi-choice exam
411401,Introduction to Hospitality & Tourism,1_1_4,1,1,Written coursework
411403,Business Operations,1_1_4,1,1,Groupwork
442703,Professionalism & Ethics in Care,4_2_10,1,2,Written coursework
442802,Occupation & Daily Living,4_2_10,1,2,Written coursework
442902,Biology & Physiology,4_2_10,1,1,Practical exam
4421001,"Anatomy, Physiology & Movement",4_2_10,1,1,Written coursework
411501,Introduction to Person Resource Management,1_1_5,1,1,Written exam
411502,Business Management Fundamentals,1_1_5,1,2,Written exam
411503,Employment Relations,1_1_5,1,2,Groupwork
442702,Fundamentals of Patient Care,4_2_9,1,2,Presentation
442901,Foundations of Pharmacology,4_2_9,1,1,Practical exam
4531201,Classical Mechanics,5_3_12,1,1,Written coursework
4531102,Discrete Mathematics,5_3_12,1,1,Practical exam
4531003,Environmental Chemistry,5_3_12,1,2,Written coursework
453904,Practical Laboratory Techniques,5_3_12,1,2,Practical exam
512102,Land Law,1_2_1,2,1,Written exam
512101,Tort Law,1_2_1,2,1,Multi-choice exam
512104,Equity & Trusts,1_2_1,2,2,Groupwork
512103,EU Law,1_2_1,2,2,Written exam
542702,Pharmacology & Medication Management,4_2_12,2,1,Written coursework
542603,Complications in Pregnancy & Birth,4_2_12,2,2,Written coursework
542504,Therapeutic Communication,4_2_12,2,2,Written coursework
542801,Therapeutic Interventions & Techniques,4_2_12,2,1,Written coursework
535901,Negotiation & Diplomacy,3_5_13,2,1,Presentation
521102,Architectural History & Theory II,2_1_1,2,1,Viva
521101,Design Studio II,2_1_1,2,1,Professional artefact
521103,Structures & Structural Design,2_1_1,2,2,Presentation
521104,Building Services & Sustainability,2_1_1,2,2,Professional artefact
5241202,Lighting & Environmental Design,2_4_12,2,1,Groupwork
5241203,Modelling,2_4_12,2,2,Professional artefact
5241103,Person-Centred Design,2_4_12,2,2,Professional artefact
5241201,Interior Design Studio,2_4_12,2,1,Professional artefact
522403,Character & Concept Design,2_2_4,2,2,Professional artefact
522402,Editorial & Publishing Illustration,2_2_4,2,1,Professional artefact
522401,Narrative Illustration,2_2_4,2,1,Groupwork
522404,Professional Practice,2_2_4,2,2,Professional artefact
511303,Supply Chain Management,1_1_3,2,2,Written coursework
511304,Entrepreneurial Finance,1_1_3,2,2,Written coursework
511301,New Venture Creation,1_1_3,2,1,Written exam
511302,Global Trade & Investment,1_1_3,2,1,Multi-choice exam
511504,Person Analytics,1_1_5,2,2,Written coursework
511502,Learning & Development,1_1_5,2,1,Written coursework
511501,Talent Management & Resourcing,1_1_5,2,1,Written exam
511503,Performance & Reward Management,1_1_5,2,2,Multi-choice exam
522603,Music Analysis,2_2_6,2,2,Written exam
522601,Advanced Music Theory,2_2_6,2,1,Written exam
522604,Music Technology,2_2_6,2,2,Professional artefact
522602,Performance II,2_2_6,2,1,Professional artefact
523804,Capstone: Create a Heritage-Inspired Brew Line,2_3_8,2,2,Written coursework
523803,"Designing Flavour: Herbs, Temperature, and Time",2_3_8,2,2,Professional artefact
523802,Chemistry and Safety in Ferment Labs,2_3_8,2,1,Practical exam
523801,Quality Control & Sensory Analysis,2_3_8,2,1,Viva
522203,Studio Practice,2_2_2,2,2,Professional artefact
522202,Experimental Photographic Processes,2_2_2,2,1,Professional artefact
522201,Advanced Printmaking,2_2_2,2,1,Professional artefact
522204,Professional Skills for Artists,2_2_2,2,2,Professional artefact
553702,Physiology of Organisms,5_3_12,2,1,Practical exam
553801,Disease Mechanisms,5_3_12,2,1,Practical exam
511401,Hospitality Operations Management,1_1_4,2,1,Written exam
511402,Tourism Planning & Development,1_1_4,2,1,Written coursework
511403,Revenue & Yield Management,1_1_4,2,2,Written exam
511404,Events Management,1_1_4,2,2,Multi-choice exam
553701,Microbiology & Immunity,5_3_11,2,1,Practical exam
522304,Professional Development,2_2_3,2,2,Professional artefact
522303,Interdisciplinary Practice,2_2_3,2,2,Professional artefact
522301,Studio Practice II,2_2_3,2,1,Professional artefact
522302,Contemporary Art Theory,2_2_3,2,1,Written exam
511101,Accounting and Reporting,1_1_1,2,1,Groupwork
511102,Taxation,1_1_1,2,1,Written coursework
511104,Financial Markets & Institutions,1_1_1,2,2,Multi-choice exam
511103,Corporate Finance,1_1_1,2,2,Written coursework
531102,Urban & Economic Geography,3_1_1,2,1,Written coursework
531104,Research Methods in Geography,3_1_1,2,2,Written coursework
531101,Environmental Change,3_1_1,2,1,Written exam
531103,Geospatial Analysis,3_1_1,2,2,Written exam
523701,Fieldwork & Excavation Techniques,2_3_7,2,1,Professional artefact
523702,Fieldwork: Documenting and Mapping,2_3_7,2,1,Professional artefact
523703,Cultural Entanglements in Artefact Recovery,2_3_7,2,2,Professional artefact
523704,Material Culture Studies,2_3_7,2,2,Written exam
511203,Business Analytics,1_1_2,2,2,Written coursework
511202,People Resource Management,1_1_2,2,1,Written exam
511201,Business Operations,1_1_2,2,1,Groupwork
523901,Surface Finishing & Treatment,2_3_9,2,1,Professional artefact
523904,Form and Function: Design Studio I,2_3_9,2,2,Groupwork
523902,Alloy Theory and Practical Metallurgy,2_3_9,2,1,Professional artefact
523903,"Forging for Fit: Joints, Hinges, and Mechanisms",2_3_9,2,2,Professional artefact
542403,Healing Traditions Across Realms,4_2_10,2,2,Written coursework
542502,"Movement, Breath & Awareness Practices",4_2_10,2,1,Written coursework
542601,Labour & Birth Management,4_2_10,2,1,Practical exam
522502,Media Analysis,2_2_5,2,1,Viva
522504,Research Methods in Media,2_2_5,2,2,Written coursework
522501,Media Theory,2_2_5,2,1,Written exam
522503,Social Media Cultures,2_2_5,2,2,Written exam
5241003,Draping & Advanced Construction,2_4_10,2,2,Professional artefact
5241004,Fashion Marketing & Branding,2_4_10,2,2,Written exam
5241002,Textiles & Fabric Innovation,2_4_10,2,1,Presentation
5241001,Fashion Design Development,2_4_10,2,1,Professional artefact
542401,Applied Herbal Formulations,4_2_8,2,1,Presentation
532203,Historiography,3_2_2,2,2,Presentation
532201,Social & Cultural History,3_2_2,2,1,Written exam
532204,Archival Research Methods,3_2_2,2,2,Written coursework
532202,Political History,3_2_2,2,1,Written exam
542701,"Adult, Child & Mental Health Nursing",4_2_11,2,1,Presentation
542503,"Pain, Recovery & Adaptation",4_2_11,2,2,Presentation
542404,Field Practice & Observation,4_2_11,2,2,Groupwork
542602,Postnatal Care & Neonatal Health,4_2_11,2,1,Written coursework
5241104,Design History & Theory,2_4_11,2,2,Written coursework
5241102,Editorial & Publication Design,2_4_11,2,1,Professional artefact
5241101,Branding & Identity Design,2_4_11,2,1,Professional artefact
542501,Psychosomatic Health,4_2_9,2,1,Practical exam
542402,Energy Systems & Balance,4_2_9,2,1,Presentation
612102,Dissertation / Research Project,1_2_1,3,2,Written coursework
612103,International Law,1_2_1,3,2,Viva
612101,Company Law,1_2_1,3,1,Viva
612104,Jurisprudence,1_2_1,3,2,Viva
642401,Advanced Herbal Practice,4_2_12,3,1,Written coursework
621101,Major Project / Dissertation,2_1_1,3,1,Written coursework
621102,Professional Practice & Management,2_1_1,3,1,Viva
621104,Advanced Architectural Technology,2_1_1,3,2,Professional artefact
621103,Urban Design & Planning,2_1_1,3,2,Written coursework
6241201,Final Interior Design Project,2_4_12,3,1,Professional artefact
6241102,Professional Practice,2_4_12,3,2,Professional artefact
6241202,Sustainable Interior Design,2_4_12,3,2,Viva
6241203,Advanced Spatial Design,2_4_12,3,2,Professional artefact
622401,Advanced Illustration Project,2_2_4,3,1,Professional artefact
622404,Contemporary Illustration Contexts,2_2_4,3,2,Professional artefact
622403,Self-Promotion & Freelancing,2_2_4,3,2,Professional artefact
622402,Portfolio Development,2_2_4,3,1,Professional artefact
611302,Dissertation / Research Project,1_1_3,3,2,Written coursework
611304,Emerging Markets & Trade Policy,1_1_3,3,2,Viva
611301,Strategic Entrepreneurship,1_1_3,3,1,Written coursework
611303,Innovation Management,1_1_3,3,2,Written coursework
611501,Dissertation / Research Project,1_1_5,3,2,Written coursework
611502,Employment Law,1_1_5,3,1,Written exam
611503,Leadership & Change Management,1_1_5,3,2,Multi-choice exam
611504,Diversity & Inclusion,1_1_5,3,2,Written coursework
622601,Performance III / Recital,2_2_6,3,1,Professional artefact
622603,Musicology,2_2_6,3,2,Groupwork
622602,Composition II,2_2_6,3,1,Groupwork
622604,Professional Practice in Music,2_2_6,3,2,Presentation
622201,Major Studio Project,2_2_2,3,1,Professional artefact
622202,Advanced Cyanotype & Alternative Photography,2_2_2,3,1,Professional artefact
622203,Exhibition & Portfolio Development,2_2_2,3,2,Written coursework
622204,Critical Studies in Contemporary Art,2_2_2,3,2,Written exam
623804,Dissertation / Research Project,2_3_8,3,2,Written coursework
623803,Distillation & Alternative Fermentations,2_3_8,3,2,Groupwork
623801,"Fermentation Futures: Probiotics, Policy, and Place",2_3_8,3,1,Written coursework
622302,Major Project / Dissertation,2_2_3,3,1,Written coursework
622303,Exhibition Practice,2_2_3,3,2,Professional artefact
622301,Studio Practice III,2_2_3,3,1,Viva
622304,Critical & Contextual Studies,2_2_3,3,2,Written coursework
611103,Dissertation / Research Project,1_1_1,3,2,Written coursework
611102,Audit & Assurance,1_1_1,3,1,Viva
611101,Advanced Financial Reporting,1_1_1,3,1,Viva
611104,Strategic Financial Management,1_1_1,3,2,Viva
611403,Dissertation / Research Project,1_1_4,3,2,Written coursework
611402,Sustainable Tourism,1_1_4,3,1,Viva
611401,Strategic Hospitality Management,1_1_4,3,1,Viva
611404,Hospitality Entrepreneurship,1_1_4,3,2,Groupwork
623701,Dissertation / Research Project,2_3_7,3,2,Written coursework
623703,Ancient Civilisations,2_3_7,3,2,Professional artefact
623702,Speculative Restoration: Imagining Futures from Fragments,2_3_7,3,1,Groupwork
623704,Public Heritage,2_3_7,3,2,Professional artefact
611202,Dissertation / Research Project,1_1_2,3,2,Written coursework
611201,Strategic Management,1_1_2,3,1,Viva
611204,Business Ethics & Corporate Governance,1_1_2,3,2,Written coursework
611203,Entrepreneurship,1_1_2,3,2,Groupwork
623902,Capstone: Precision Artefact for Client or Cause,2_3_9,3,1,Written coursework
623903,"Ethics in Craft, Ownership, and Replication",2_3_9,3,2,Written coursework
623904,Professional Practice & Entrepreneurship,2_3_9,3,2,Written coursework
623901,Design Studio II: Commissions and Constraints,2_3_9,3,1,Professional artefact
631102,Dissertation / Field Research Project,3_1_1,3,1,Written coursework
631101,Advanced Topics in Geography,3_1_1,3,1,Viva
631104,Global Development,3_1_1,3,2,Written coursework
631103,Ecosystems & Sustainability,3_1_1,3,2,Groupwork
622503,Media Project / Dissertation,2_2_5,3,2,Written coursework
622501,Advanced Media Theory,2_2_5,3,1,Viva
622504,Political Economy of Media,2_2_5,3,2,Presentation
622502,Global Media & Communication,2_2_5,3,1,Presentation
6241001,Final Collection / Major Project,2_4_10,3,1,Written coursework
6241002,Professional Practice in Fashion,2_4_10,3,2,Professional artefact
6241003,Sustainable Fashion Design,2_4_10,3,2,Written coursework
632202,Dissertation,3_2_2,3,1,Written coursework
632201,Special Subject in History,3_2_2,3,1,Viva
632203,Public History,3_2_2,3,2,Viva
632204,Global Historical Perspectives,3_2_2,3,2,Written exam
6241101,Major Design Project,2_4_11,3,1,Professional artefact
6241103,Contemporary Design Issues,2_4_11,3,2,Presentation
