student_id,academic_year,year_outcome,status,status_change_at,programme_year_next,avg_mark,modules_passed,modules_total
1042,1046-47,pass,enrolled,1047-09-01,2.0,56.52,4,4
1043,1046-47,pass,enrolled,1047-09-01,2.0,56.27,4,4
1044,1046-47,pass,enrolled,1047-09-01,2.0,61.98,4,4
1045,1046-47,pass,enrolled,1047-09-01,2.0,74.38,4,4
1046,1046-47,pass,enrolled,1047-09-01,2.0,72.05,2,2
1047,1046-47,pass,enrolled,1047-09-01,2.0,46.07,3,3
1048,1046-47,pass,enrolled,1047-09-01,2.0,51.2,1,1
1049,1046-47,pass,enrolled,1047-09-01,2.0,65.5,3,3
105,1046-47,pass,enrolled,1047-09-01,2.0,75.05,4,4
1050,1046-47,pass,enrolled,1047-09-01,2.0,74.38,4,4
1051,1046-47,pass,enrolled,1047-09-01,2.0,51.75,4,4
1052,1046-47,pass,enrolled,1047-09-01,2.0,45.1,2,2
1053,1046-47,pass,enrolled,1047-09-01,2.0,64.47,4,4
1054,1046-47,pass,enrolled,1047-09-01,2.0,72.55,4,4
1055,1046-47,pass,enrolled,1047-09-01,2.0,71.25,2,2
1056,1046-47,pass,enrolled,1047-09-01,2.0,59.0,4,4
1057,1046-47,pass,enrolled,1047-09-01,2.0,61.58,4,4
1058,1046-47,pass,enrolled,1047-09-01,2.0,76.67,3,3
1059,1046-47,pass,enrolled,1047-09-01,2.0,54.8,4,4
106,1046-47,pass,enrolled,1047-09-01,2.0,69.82,4,4
1060,1046-47,pass,enrolled,1047-09-01,2.0,51.6,1,1
1061,1046-47,pass,enrolled,1047-09-01,2.0,62.55,2,2
1062,1046-47,pass,enrolled,1047-09-01,2.0,71.83,4,4
1063,1046-47,pass,enrolled,1047-09-01,2.0,72.9,1,1
1064,1046-47,pass,enrolled,1047-09-01,2.0,56.6,2,2
1065,1046-47,pass,enrolled,1047-09-01,2.0,74.9,1,1
1066,1046-47,pass,enrolled,1047-09-01,2.0,69.45,2,2
1067,1046-47,pass,enrolled,1047-09-01,2.0,67.8,1,1
1068,1046-47,pass,enrolled,1047-09-01,2.0,58.1,1,1
1069,1046-47,pass,enrolled,1047-09-01,2.0,50.5,1,1
107,1046-47,pass,enrolled,1047-09-01,2.0,53.45,4,4
1070,1046-47,pass,enrolled,1047-09-01,2.0,69.47,4,4
1071,1046-47,pass,enrolled,1047-09-01,2.0,51.92,4,4
1072,1046-47,pass,enrolled,1047-09-01,2.0,59.7,4,4
1073,1046-47,fail,repeating,1047-09-01,1.0,45.15,3,4
1074,1046-47,pass,enrolled,1047-09-01,2.0,51.25,4,4
1075,1046-47,pass,enrolled,1047-09-01,2.0,83.95,4,4
1076,1046-47,pass,enrolled,1047-09-01,2.0,63.4,4,4
1077,1046-47,pass,enrolled,1047-09-01,2.0,49.93,3,3
1078,1046-47,pass,enrolled,1047-09-01,2.0,61.3,4,4
1079,1046-47,pass,enrolled,1047-09-01,2.0,64.65,4,4
108,1046-47,fail,withdrawn,1047-09-01,,45.38,3,4
1080,1046-47,pass,enrolled,1047-09-01,2.0,63.1,1,1
1081,1046-47,pass,enrolled,1047-09-01,2.0,70.8,1,1
1082,1046-47,pass,enrolled,1047-09-01,2.0,79.88,4,4
1083,1046-47,fail,withdrawn,1047-09-01,,47.23,3,4
1084,1046-47,pass,enrolled,1047-09-01,2.0,69.6,4,4
1085,1046-47,pass,enrolled,1047-09-01,2.0,62.6,1,1
1086,1046-47,pass,enrolled,1047-09-01,2.0,82.72,4,4
1087,1046-47,pass,withdrawn,1047-09-01,,49.95,2,2
1088,1046-47,pass,enrolled,1047-09-01,2.0,69.22,4,4
1089,1046-47,pass,enrolled,1047-09-01,2.0,67.33,4,4
109,1046-47,fail,repeating,1047-09-01,1.0,50.52,3,4
1090,1046-47,pass,withdrawn,1047-09-01,,82.23,3,3
1091,1046-47,pass,enrolled,1047-09-01,2.0,65.72,4,4
1092,1046-47,pass,enrolled,1047-09-01,2.0,42.2,1,1
1093,1046-47,fail,repeating,1047-09-01,1.0,45.6,1,2
1094,1046-47,pass,enrolled,1047-09-01,2.0,58.73,4,4
1095,1046-47,pass,enrolled,1047-09-01,2.0,49.08,4,4
1096,1046-47,pass,enrolled,1047-09-01,2.0,62.0,4,4
1097,1046-47,fail,repeating,1047-09-01,1.0,54.33,3,4
1098,1046-47,pass,enrolled,1047-09-01,2.0,73.85,2,2
1099,1046-47,pass,enrolled,1047-09-01,2.0,64.5,4,4
11,1046-47,pass,enrolled,1047-09-01,2.0,77.45,2,2
110,1046-47,pass,enrolled,1047-09-01,2.0,61.3,4,4
1100,1046-47,pass,enrolled,1047-09-01,2.0,80.1,2,2
1101,1046-47,pass,enrolled,1047-09-01,2.0,61.2,4,4
1102,1046-47,pass,enrolled,1047-09-01,2.0,73.0,1,1
1103,1046-47,pass,enrolled,1047-09-01,2.0,59.6,3,3
1104,1046-47,pass,enrolled,1047-09-01,2.0,64.05,2,2
1105,1046-47,pass,enrolled,1047-09-01,2.0,66.62,4,4
1106,1046-47,pass,enrolled,1047-09-01,2.0,43.8,1,1
1107,1046-47,pass,enrolled,1047-09-01,2.0,66.65,2,2
1108,1046-47,pass,enrolled,1047-09-01,2.0,70.22,4,4
1109,1046-47,pass,enrolled,1047-09-01,2.0,71.2,4,4
111,1046-47,pass,enrolled,1047-09-01,2.0,66.8,1,1
1110,1046-47,pass,enrolled,1047-09-01,2.0,66.43,3,3
1111,1046-47,pass,enrolled,1047-09-01,2.0,78.65,4,4
1112,1046-47,pass,enrolled,1047-09-01,2.0,67.42,4,4
1113,1046-47,pass,enrolled,1047-09-01,2.0,65.17,4,4
1114,1046-47,pass,enrolled,1047-09-01,2.0,79.93,4,4
1115,1046-47,fail,withdrawn,1047-09-01,,58.47,3,4
1116,1046-47,pass,enrolled,1047-09-01,2.0,66.3,2,2
1117,1046-47,pass,enrolled,1047-09-01,2.0,70.6,4,4
1118,1046-47,pass,enrolled,1047-09-01,2.0,70.3,4,4
1119,1046-47,pass,enrolled,1047-09-01,2.0,68.2,1,1
112,1046-47,pass,withdrawn,1047-09-01,,63.48,4,4
1120,1046-47,fail,repeating,1047-09-01,1.0,43.7,2,3
1121,1046-47,pass,enrolled,1047-09-01,2.0,91.8,1,1
1122,1046-47,pass,enrolled,1047-09-01,2.0,45.73,3,3
1123,1046-47,pass,enrolled,1047-09-01,2.0,67.5,1,1
1124,1046-47,pass,enrolled,1047-09-01,2.0,60.27,3,3
1125,1046-47,pass,enrolled,1047-09-01,2.0,50.42,4,4
1126,1046-47,pass,enrolled,1047-09-01,2.0,62.62,4,4
1127,1046-47,pass,enrolled,1047-09-01,2.0,94.45,2,2
1128,1046-47,pass,enrolled,1047-09-01,2.0,54.5,1,1
1129,1046-47,pass,enrolled,1047-09-01,2.0,49.45,2,2
113,1046-47,pass,enrolled,1047-09-01,2.0,73.5,1,1
1130,1046-47,pass,enrolled,1047-09-01,2.0,48.1,1,1
1131,1046-47,pass,enrolled,1047-09-01,2.0,80.65,4,4
1132,1046-47,pass,enrolled,1047-09-01,2.0,60.45,4,4
1133,1046-47,pass,enrolled,1047-09-01,2.0,70.1,1,1
1134,1046-47,pass,enrolled,1047-09-01,2.0,71.08,4,4
1135,1046-47,pass,enrolled,1047-09-01,2.0,51.6,2,2
1136,1046-47,pass,enrolled,1047-09-01,2.0,52.0,2,2
1137,1046-47,pass,enrolled,1047-09-01,2.0,51.77,4,4
1138,1046-47,fail,repeating,1047-09-01,1.0,52.58,3,4
1139,1046-47,pass,enrolled,1047-09-01,2.0,55.2,4,4
114,1046-47,pass,enrolled,1047-09-01,2.0,66.7,2,2
1140,1046-47,pass,enrolled,1047-09-01,2.0,72.4,2,2
1141,1046-47,pass,enrolled,1047-09-01,2.0,46.3,1,1
1142,1046-47,pass,enrolled,1047-09-01,2.0,68.05,2,2
1143,1046-47,pass,enrolled,1047-09-01,2.0,72.9,4,4
1144,1046-47,pass,enrolled,1047-09-01,2.0,59.5,1,1
1145,1046-47,pass,enrolled,1047-09-01,2.0,87.2,2,2
1146,1046-47,pass,enrolled,1047-09-01,2.0,68.2,2,2
1147,1046-47,pass,enrolled,1047-09-01,2.0,81.3,2,2
1148,1046-47,pass,enrolled,1047-09-01,2.0,62.68,4,4
1149,1046-47,pass,enrolled,1047-09-01,2.0,76.25,2,2
115,1046-47,pass,enrolled,1047-09-01,2.0,57.5,4,4
1150,1046-47,pass,enrolled,1047-09-01,2.0,64.2,1,1
1151,1046-47,pass,enrolled,1047-09-01,2.0,82.62,4,4
1152,1046-47,pass,enrolled,1047-09-01,2.0,53.9,1,1
1153,1046-47,pass,enrolled,1047-09-01,2.0,81.27,3,3
1154,1046-47,pass,enrolled,1047-09-01,2.0,77.7,4,4
1155,1046-47,fail,repeating,1047-09-01,1.0,49.5,3,4
1156,1046-47,pass,enrolled,1047-09-01,2.0,75.87,3,3
1157,1046-47,pass,withdrawn,1047-09-01,,72.4,1,1
1158,1046-47,pass,enrolled,1047-09-01,2.0,54.67,4,4
1159,1046-47,pass,enrolled,1047-09-01,2.0,50.48,4,4
116,1046-47,pass,enrolled,1047-09-01,2.0,79.1,1,1
1160,1046-47,pass,enrolled,1047-09-01,2.0,75.9,4,4
1161,1046-47,pass,enrolled,1047-09-01,2.0,76.65,2,2
1162,1046-47,pass,enrolled,1047-09-01,2.0,46.35,2,2
1163,1046-47,pass,enrolled,1047-09-01,2.0,58.85,2,2
1164,1046-47,pass,enrolled,1047-09-01,2.0,50.77,4,4
1165,1046-47,pass,enrolled,1047-09-01,2.0,80.33,4,4
1166,1046-47,pass,enrolled,1047-09-01,2.0,72.6,4,4
1167,1046-47,pass,enrolled,1047-09-01,2.0,84.6,1,1
1168,1046-47,pass,enrolled,1047-09-01,2.0,68.15,4,4
1169,1046-47,pass,enrolled,1047-09-01,2.0,59.08,4,4
117,1046-47,pass,enrolled,1047-09-01,2.0,56.6,1,1
1170,1046-47,pass,enrolled,1047-09-01,2.0,50.1,3,3
1171,1046-47,pass,enrolled,1047-09-01,2.0,81.33,4,4
1172,1046-47,pass,enrolled,1047-09-01,2.0,53.85,2,2
1173,1046-47,fail,repeating,1047-09-01,1.0,38.1,0,1
1174,1046-47,pass,enrolled,1047-09-01,2.0,79.75,2,2
1175,1046-47,pass,enrolled,1047-09-01,2.0,59.15,2,2
1176,1046-47,pass,enrolled,1047-09-01,2.0,62.8,1,1
1177,1046-47,pass,enrolled,1047-09-01,2.0,71.43,3,3
1178,1046-47,fail,withdrawn,1047-09-01,,43.2,2,3
1179,1046-47,pass,withdrawn,1047-09-01,,64.97,4,4
118,1046-47,fail,repeating,1047-09-01,1.0,24.6,0,1
1180,1046-47,pass,enrolled,1047-09-01,2.0,54.27,3,3
1181,1046-47,pass,enrolled,1047-09-01,2.0,70.9,2,2
1182,1046-47,pass,enrolled,1047-09-01,2.0,70.65,2,2
1183,1046-47,fail,repeating,1047-09-01,1.0,48.17,3,4
1184,1046-47,pass,enrolled,1047-09-01,2.0,89.8,1,1
1185,1046-47,pass,enrolled,1047-09-01,2.0,55.58,4,4
1186,1046-47,pass,enrolled,1047-09-01,2.0,58.45,2,2
1187,1046-47,pass,enrolled,1047-09-01,2.0,67.62,4,4
1188,1046-47,pass,enrolled,1047-09-01,2.0,71.4,1,1
1189,1046-47,pass,enrolled,1047-09-01,2.0,70.15,4,4
119,1046-47,fail,withdrawn,1047-09-01,,43.08,3,4
1190,1046-47,pass,enrolled,1047-09-01,2.0,66.0,1,1
1191,1046-47,pass,enrolled,1047-09-01,2.0,61.1,1,1
1192,1046-47,pass,enrolled,1047-09-01,2.0,71.3,1,1
1193,1046-47,pass,enrolled,1047-09-01,2.0,51.0,4,4
1194,1046-47,pass,enrolled,1047-09-01,2.0,70.45,4,4
1195,1046-47,pass,enrolled,1047-09-01,2.0,59.13,3,3
1196,1046-47,pass,enrolled,1047-09-01,2.0,82.05,4,4
1197,1046-47,pass,enrolled,1047-09-01,2.0,80.35,2,2
1198,1046-47,pass,enrolled,1047-09-01,2.0,73.9,2,2
1199,1046-47,fail,withdrawn,1047-09-01,,40.08,2,4
12,1046-47,pass,enrolled,1047-09-01,2.0,66.25,2,2
120,1046-47,pass,enrolled,1047-09-01,2.0,71.45,2,2
1200,1046-47,pass,enrolled,1047-09-01,2.0,53.02,4,4
1201,1046-47,pass,enrolled,1047-09-01,2.0,67.75,2,2
1202,1046-47,pass,enrolled,1047-09-01,2.0,63.6,1,1
1203,1046-47,pass,enrolled,1047-09-01,2.0,45.3,1,1
1204,1046-47,pass,enrolled,1047-09-01,2.0,61.8,3,3
1205,1046-47,pass,enrolled,1047-09-01,2.0,66.35,2,2
1206,1046-47,pass,withdrawn,1047-09-01,,69.2,3,3
1207,1046-47,fail,repeating,1047-09-01,1.0,50.17,2,4
1208,1046-47,pass,enrolled,1047-09-01,2.0,63.33,4,4
1209,1046-47,pass,enrolled,1047-09-01,2.0,68.4,1,1
121,1046-47,pass,enrolled,1047-09-01,2.0,70.53,3,3
1210,1046-47,pass,enrolled,1047-09-01,2.0,71.25,4,4
1211,1046-47,pass,enrolled,1047-09-01,2.0,65.4,1,1
1212,1046-47,fail,repeating,1047-09-01,1.0,57.05,3,4
1213,1046-47,pass,enrolled,1047-09-01,2.0,64.0,1,1
1214,1046-47,pass,enrolled,1047-09-01,2.0,84.55,2,2
1215,1046-47,pass,enrolled,1047-09-01,2.0,55.7,1,1
1216,1046-47,pass,enrolled,1047-09-01,2.0,56.95,2,2
1217,1046-47,pass,enrolled,1047-09-01,2.0,66.55,4,4
1218,1046-47,fail,withdrawn,1047-09-01,,58.9,3,4
1219,1046-47,pass,enrolled,1047-09-01,2.0,55.52,4,4
122,1046-47,pass,enrolled,1047-09-01,2.0,57.3,4,4
1220,1046-47,pass,enrolled,1047-09-01,2.0,52.85,2,2
1221,1046-47,pass,enrolled,1047-09-01,2.0,64.22,4,4
1222,1046-47,pass,enrolled,1047-09-01,2.0,78.97,3,3
1223,1046-47,pass,enrolled,1047-09-01,2.0,60.7,4,4
1224,1046-47,pass,enrolled,1047-09-01,2.0,62.58,4,4
1225,1046-47,pass,enrolled,1047-09-01,2.0,60.6,4,4
1226,1046-47,pass,enrolled,1047-09-01,2.0,48.4,4,4
1227,1046-47,fail,withdrawn,1047-09-01,,38.42,2,4
1228,1046-47,pass,enrolled,1047-09-01,2.0,72.92,4,4
1229,1046-47,pass,enrolled,1047-09-01,2.0,73.38,4,4
123,1046-47,pass,enrolled,1047-09-01,2.0,63.88,4,4
1230,1046-47,pass,enrolled,1047-09-01,2.0,72.03,4,4
1231,1046-47,pass,enrolled,1047-09-01,2.0,59.25,2,2
1232,1046-47,pass,enrolled,1047-09-01,2.0,58.47,3,3
1233,1046-47,pass,enrolled,1047-09-01,2.0,68.77,3,3
1234,1046-47,pass,enrolled,1047-09-01,2.0,73.3,1,1
1235,1046-47,pass,enrolled,1047-09-01,2.0,67.67,3,3
1236,1046-47,pass,enrolled,1047-09-01,2.0,58.9,1,1
1237,1046-47,pass,enrolled,1047-09-01,2.0,55.9,1,1
1238,1046-47,pass,enrolled,1047-09-01,2.0,63.02,4,4
1239,1046-47,pass,enrolled,1047-09-01,2.0,77.05,2,2
124,1046-47,pass,enrolled,1047-09-01,2.0,59.9,1,1
1240,1046-47,pass,enrolled,1047-09-01,2.0,45.62,4,4
1241,1046-47,pass,enrolled,1047-09-01,2.0,69.77,3,3
1242,1046-47,pass,enrolled,1047-09-01,2.0,76.6,1,1
1243,1046-47,pass,enrolled,1047-09-01,2.0,49.6,1,1
1244,1046-47,pass,enrolled,1047-09-01,2.0,84.18,4,4
1245,1046-47,pass,enrolled,1047-09-01,2.0,68.13,3,3
1246,1046-47,pass,enrolled,1047-09-01,2.0,60.9,4,4
1247,1046-47,pass,enrolled,1047-09-01,2.0,61.27,3,3
1248,1046-47,pass,enrolled,1047-09-01,2.0,40.2,1,1
1249,1046-47,pass,enrolled,1047-09-01,2.0,70.47,3,3
125,1046-47,fail,repeating,1047-09-01,1.0,52.92,3,4
1250,1046-47,fail,repeating,1047-09-01,1.0,44.48,3,4
1251,1046-47,pass,enrolled,1047-09-01,2.0,57.7,4,4
1252,1046-47,pass,enrolled,1047-09-01,2.0,68.2,1,1
1253,1046-47,pass,enrolled,1047-09-01,2.0,47.73,3,3
1254,1046-47,pass,enrolled,1047-09-01,2.0,59.3,1,1
1255,1046-47,pass,enrolled,1047-09-01,2.0,71.95,4,4
1256,1046-47,pass,enrolled,1047-09-01,2.0,67.9,3,3
1257,1046-47,pass,enrolled,1047-09-01,2.0,56.6,4,4
1258,1046-47,pass,enrolled,1047-09-01,2.0,63.83,4,4
1259,1046-47,pass,enrolled,1047-09-01,2.0,81.4,2,2
126,1046-47,pass,enrolled,1047-09-01,2.0,44.5,1,1
1260,1046-47,pass,enrolled,1047-09-01,2.0,72.4,1,1
1261,1046-47,pass,enrolled,1047-09-01,2.0,80.33,4,4
1262,1046-47,pass,enrolled,1047-09-01,2.0,53.85,4,4
1263,1046-47,pass,enrolled,1047-09-01,2.0,77.75,2,2
1264,1046-47,pass,withdrawn,1047-09-01,,80.07,4,4
1265,1046-47,pass,enrolled,1047-09-01,2.0,70.97,3,3
1266,1046-47,pass,enrolled,1047-09-01,2.0,55.57,4,4
1267,1046-47,pass,enrolled,1047-09-01,2.0,69.5,2,2
1268,1046-47,pass,enrolled,1047-09-01,2.0,65.58,4,4
1269,1046-47,pass,enrolled,1047-09-01,2.0,53.2,4,4
127,1046-47,pass,enrolled,1047-09-01,2.0,68.55,4,4
1270,1046-47,pass,enrolled,1047-09-01,2.0,50.75,4,4
1271,1046-47,pass,enrolled,1047-09-01,2.0,67.6,1,1
1272,1046-47,pass,enrolled,1047-09-01,2.0,67.08,4,4
1273,1046-47,pass,enrolled,1047-09-01,2.0,71.92,4,4
1274,1046-47,pass,enrolled,1047-09-01,2.0,73.85,4,4
1275,1046-47,pass,enrolled,1047-09-01,2.0,71.2,1,1
1276,1046-47,fail,repeating,1047-09-01,1.0,41.1,2,4
1277,1046-47,pass,enrolled,1047-09-01,2.0,81.2,2,2
1278,1046-47,pass,enrolled,1047-09-01,2.0,65.85,4,4
1279,1046-47,pass,enrolled,1047-09-01,2.0,66.8,3,3
128,1046-47,pass,enrolled,1047-09-01,2.0,59.12,4,4
1280,1046-47,pass,enrolled,1047-09-01,2.0,66.2,3,3
1281,1046-47,pass,enrolled,1047-09-01,2.0,82.2,2,2
1282,1046-47,pass,enrolled,1047-09-01,2.0,52.55,4,4
1283,1046-47,pass,enrolled,1047-09-01,2.0,74.28,4,4
1284,1046-47,pass,enrolled,1047-09-01,2.0,63.67,4,4
1285,1046-47,pass,enrolled,1047-09-01,2.0,62.48,4,4
1286,1046-47,pass,enrolled,1047-09-01,2.0,55.8,4,4
1287,1046-47,pass,enrolled,1047-09-01,2.0,67.35,4,4
1288,1046-47,pass,enrolled,1047-09-01,2.0,80.15,2,2
1289,1046-47,pass,enrolled,1047-09-01,2.0,62.53,4,4
129,1046-47,pass,enrolled,1047-09-01,2.0,75.42,4,4
1290,1046-47,pass,enrolled,1047-09-01,2.0,81.9,4,4
1291,1046-47,pass,enrolled,1047-09-01,2.0,76.75,2,2
1292,1046-47,pass,enrolled,1047-09-01,2.0,61.0,3,3
1293,1046-47,fail,withdrawn,1047-09-01,,41.25,3,4
1294,1046-47,pass,enrolled,1047-09-01,2.0,51.3,2,2
1295,1046-47,pass,enrolled,1047-09-01,2.0,70.0,4,4
1296,1046-47,pass,enrolled,1047-09-01,2.0,62.27,3,3
1297,1046-47,pass,enrolled,1047-09-01,2.0,66.3,2,2
1298,1046-47,pass,enrolled,1047-09-01,2.0,56.45,2,2
1299,1046-47,pass,enrolled,1047-09-01,2.0,83.0,1,1
13,1046-47,pass,enrolled,1047-09-01,2.0,65.6,1,1
130,1046-47,pass,enrolled,1047-09-01,2.0,69.7,2,2
1300,1046-47,fail,withdrawn,1047-09-01,,47.27,3,4
1301,1046-47,fail,repeating,1047-09-01,1.0,41.58,2,4
1302,1046-47,pass,enrolled,1047-09-01,2.0,60.3,4,4
1303,1046-47,pass,enrolled,1047-09-01,2.0,87.6,1,1
1304,1046-47,pass,enrolled,1047-09-01,2.0,63.43,3,3
1305,1046-47,pass,enrolled,1047-09-01,2.0,69.25,2,2
1306,1046-47,pass,enrolled,1047-09-01,2.0,49.67,4,4
1307,1046-47,pass,enrolled,1047-09-01,2.0,73.17,4,4
1308,1046-47,pass,enrolled,1047-09-01,2.0,50.33,4,4
1309,1046-47,pass,enrolled,1047-09-01,2.0,64.83,4,4
131,1046-47,pass,enrolled,1047-09-01,2.0,65.3,1,1
1310,1046-47,pass,enrolled,1047-09-01,2.0,61.05,4,4
1311,1046-47,pass,enrolled,1047-09-01,2.0,58.2,4,4
1312,1046-47,pass,enrolled,1047-09-01,2.0,84.55,4,4
1313,1046-47,pass,enrolled,1047-09-01,2.0,58.05,2,2
1314,1046-47,pass,enrolled,1047-09-01,2.0,54.98,4,4
1315,1046-47,pass,enrolled,1047-09-01,2.0,64.95,2,2
1316,1046-47,pass,enrolled,1047-09-01,2.0,70.37,3,3
1317,1046-47,pass,enrolled,1047-09-01,2.0,67.28,4,4
1318,1046-47,pass,enrolled,1047-09-01,2.0,79.07,3,3
1319,1046-47,pass,enrolled,1047-09-01,2.0,58.9,1,1
132,1046-47,pass,enrolled,1047-09-01,2.0,73.93,3,3
1320,1046-47,pass,enrolled,1047-09-01,2.0,75.55,4,4
1321,1046-47,fail,withdrawn,1047-09-01,,39.4,1,2
1322,1046-47,pass,enrolled,1047-09-01,2.0,66.67,3,3
1323,1046-47,pass,enrolled,1047-09-01,2.0,49.83,4,4
1324,1046-47,fail,repeating,1047-09-01,1.0,52.88,3,4
1325,1046-47,pass,enrolled,1047-09-01,2.0,69.6,4,4
1326,1046-47,pass,enrolled,1047-09-01,2.0,74.35,4,4
1327,1046-47,pass,enrolled,1047-09-01,2.0,65.47,4,4
1328,1046-47,pass,enrolled,1047-09-01,2.0,70.1,4,4
1329,1046-47,pass,enrolled,1047-09-01,2.0,71.5,1,1
133,1046-47,pass,enrolled,1047-09-01,2.0,77.0,4,4
1330,1046-47,pass,enrolled,1047-09-01,2.0,65.1,1,1
1331,1046-47,pass,enrolled,1047-09-01,2.0,61.27,4,4
1332,1046-47,pass,enrolled,1047-09-01,2.0,64.42,4,4
1333,1046-47,pass,enrolled,1047-09-01,2.0,61.05,4,4
1334,1046-47,fail,repeating,1047-09-01,1.0,44.65,3,4
1335,1046-47,pass,enrolled,1047-09-01,2.0,62.77,4,4
1336,1046-47,pass,enrolled,1047-09-01,2.0,72.3,4,4
1337,1046-47,pass,enrolled,1047-09-01,2.0,74.3,3,3
1338,1046-47,pass,enrolled,1047-09-01,2.0,59.0,1,1
1339,1046-47,pass,enrolled,1047-09-01,2.0,54.97,3,3
134,1046-47,pass,enrolled,1047-09-01,2.0,57.85,2,2
1340,1046-47,pass,enrolled,1047-09-01,2.0,60.95,4,4
1341,1046-47,pass,enrolled,1047-09-01,2.0,61.38,4,4
1342,1046-47,pass,enrolled,1047-09-01,2.0,57.9,4,4
1343,1046-47,pass,enrolled,1047-09-01,2.0,55.5,3,3
1344,1046-47,pass,withdrawn,1047-09-01,,64.17,4,4
1345,1046-47,fail,withdrawn,1047-09-01,,50.67,3,4
1346,1046-47,fail,withdrawn,1047-09-01,,48.05,1,2
1347,1046-47,pass,enrolled,1047-09-01,2.0,72.62,4,4
1348,1046-47,pass,enrolled,1047-09-01,2.0,58.35,4,4
1349,1046-47,pass,enrolled,1047-09-01,2.0,62.95,4,4
135,1046-47,pass,enrolled,1047-09-01,2.0,57.5,4,4
1350,1046-47,pass,enrolled,1047-09-01,2.0,64.9,4,4
1351,1046-47,pass,enrolled,1047-09-01,2.0,59.4,3,3
1352,1046-47,pass,enrolled,1047-09-01,2.0,75.08,4,4
1353,1046-47,fail,repeating,1047-09-01,1.0,49.33,3,4
1354,1046-47,pass,enrolled,1047-09-01,2.0,94.0,1,1
1355,1046-47,pass,enrolled,1047-09-01,2.0,64.77,3,3
1356,1046-47,pass,enrolled,1047-09-01,2.0,71.37,3,3
1357,1046-47,pass,enrolled,1047-09-01,2.0,74.9,4,4
